et,xt,side,entry,exit,R,reason,year,atr_pct,oi_z,y
2023-05-06 08:00:00,2023-05-11 00:00:00,-1,28593.817980000003,27583.0,0.035091937277603215,fibstop,2023,0.022469378217586038,-0.3332226222236989,2023
2023-05-12 08:00:00,2023-05-13 08:00:00,1,26243.111139999997,26759.2,0.01874467892105845,fibstop,2023,0.024147806286810458,1.2254878449887368,2023
2023-05-14 00:00:00,2023-05-15 00:00:00,-1,26878.134700000006,26901.9,-0.0016012771009745134,fibstop,2023,0.020395261365567303,-0.4286342349078648,2023
2023-05-15 08:00:00,2023-05-16 08:00:00,-1,27435.8906,27240.6,0.006418660371661281,fibstop,2023,0.019271616894511373,0.8978383179346836,2023
2023-05-17 16:00:00,2023-05-19 08:00:00,1,27362.7985,26842.0,-0.02018827610776784,fibstop,2023,0.018601327080136794,1.4855926596083304,2023
2023-05-21 08:00:00,2023-05-23 16:00:00,-1,26913.00938,27310.8,-0.015177287191985448,fibstop,2023,0.013622751560948542,0.536807025082492,2023
2023-05-24 16:00:00,2023-05-25 16:00:00,1,26270.655499999997,26216.9,-0.00304803845084892,fibstop,2023,0.015839506442370217,1.7444288315067764,2023
2023-05-29 08:00:00,2023-06-03 08:00:00,-1,27698.304799999998,27161.4,0.019656991040051114,fibstop,2023,0.016255754090671305,0.2477095306863714,2023
2023-06-03 16:00:00,2023-06-05 08:00:00,-1,27080.260440000002,26819.2,0.009339788496812503,fibstop,2023,0.015317552410071968,0.6544889327887893,2023
2023-06-06 00:00:00,2023-06-07 00:00:00,1,25644.66294,27012.700842540704,0.052433500833043906,fibstop,2023,0.016909660711605802,0.9201832532410648,2023
2023-06-07 08:00:00,2023-06-12 08:00:00,-1,26394.84032,25793.2,0.022851740948047542,fibstop,2023,0.022239553352858786,-1.2040776420412442,2023
2023-06-13 16:00:00,2023-06-17 16:00:00,-1,25951.236699999998,26399.9,-0.017580415936700268,fibstop,2023,0.01682959576956509,1.3206047286050648,2023
2023-06-19 00:00:00,2023-06-26 16:00:00,1,26401.232099999997,30400.7,0.14889318620174738,fibstop,2023,0.016101555218479478,-0.356508769555073,2023
2023-06-27 00:00:00,2023-06-29 08:00:00,1,30357.168940000003,30333.9,-0.002164245600241971,fibstop,2023,0.018757437472981146,-0.2904638190191123,2023
2023-06-29 16:00:00,2023-06-30 16:00:00,-1,30470.252560000004,30117.399831680053,0.010980236416653806,fibstop,2023,0.017431131221114327,1.6679897029842046,2023
2023-07-02 16:00:00,2023-07-06 00:00:00,1,30578.887059999997,30488.4,-0.004859135164809875,fibstop,2023,0.01658807025734233,-3.332230273564313,2023
2023-07-07 08:00:00,2023-07-10 16:00:00,1,30319.8928,30297.5,-0.0018561514239021808,fibstop,2023,0.018911966694760644,-1.0111679202002088,2023
2023-07-11 00:00:00,2023-07-13 00:00:00,-1,30561.169280000002,30368.9,0.00578383331533222,fibstop,2023,0.014381893933485395,0.6466733309909592,2023
2023-07-14 00:00:00,2023-07-17 00:00:00,-1,31144.9216,30216.9,0.029354993482923905,fibstop,2023,0.016940643890573797,-0.5709846877436899,2023
2023-07-19 00:00:00,2023-07-21 08:00:00,1,29953.376959999998,29757.8,-0.007673619317102498,fibstop,2023,0.013849410385029863,-0.1874561208213779,2023
2023-07-23 00:00:00,2023-07-24 08:00:00,1,29876.85668,28972.93977257582,-0.031391852603518525,fibstop,2023,0.011005731975141231,-0.2818038744828303,2023
2023-07-27 00:00:00,2023-07-31 00:00:00,-1,29421.6107,29271.2,0.005015132402959037,fibstop,2023,0.01113175902761141,1.8382525126595413,2023
2023-07-31 08:00:00,2023-08-02 00:00:00,-1,29246.582119999995,29944.559189820076,-0.02425218259451688,fibstop,2023,0.008692960536313351,1.110698502943963,2023
2023-08-02 08:00:00,2023-08-07 16:00:00,-1,29356.99106,28872.18328595787,0.017213878812523235,fibstop,2023,0.013048386973608883,1.9154864470334276,2023
2023-08-09 00:00:00,2023-08-15 08:00:00,-1,29853.990380000003,29396.9,0.016288323780080077,fibstop,2023,0.011375831240290247,1.3851123997550423,2023
2023-08-16 00:00:00,2023-08-17 00:00:00,1,29168.28102,28518.94544996305,-0.02336170166118861,fibstop,2023,0.008099429295797078,1.629618604316364,2023
2023-08-18 00:00:00,2023-08-22 00:00:00,1,26263.692419999996,26115.4,-0.006323329852491133,fibstop,2023,0.024618373664283964,-3.122174617279041,2023
2023-08-23 00:00:00,2023-08-26 00:00:00,1,26015.753,26051.7,0.00040181974822101486,fibstop,2023,0.015562509376158367,-2.929525215449257,2023
2023-08-27 16:00:00,2023-08-29 00:00:00,-1,26100.024480000004,26106.5,-0.0009543339818548218,fibstop,2023,0.010231989637509676,3.1256139654342934,2023
2023-08-30 00:00:00,2023-09-04 08:00:00,-1,27495.337440000003,25953.8,0.055859342667290535,fibstop,2023,0.017031028266554827,1.0572221517605769,2023
2023-09-05 08:00:00,2023-09-07 08:00:00,1,25730.1424,25751.0,-0.00011125098459278905,fibstop,2023,0.013661926759950947,2.5739761956032714,2023
2023-09-08 00:00:00,2023-09-11 08:00:00,-1,26277.175,25801.4,0.01732764786531459,fibstop,2023,0.01317205780537551,-1.6061715886343295,2023
2023-09-12 00:00:00,2023-09-18 16:00:00,1,25776.41058,26778.84456964372,0.038099118080254714,fibstop,2023,0.015594107121180653,1.2886529051337057,2023
2023-09-19 16:00:00,2023-09-25 16:00:00,-1,27228.969159999997,26439.544547326524,0.028533915893327023,fibstop,2023,0.01537976211302078,1.3819378766273698,2023
2023-09-27 16:00:00,2023-09-28 16:00:00,-1,26383.11706,27205.667477035848,-0.032033540719728,fibstop,2023,0.011360524800593541,-1.1599801240151455,2023
2023-09-29 00:00:00,2023-10-01 16:00:00,-1,27205.005780000003,28167.010454672967,-0.03616777116649826,fibstop,2023,0.012891225243782297,0.9795976276543956,2023
2023-10-02 16:00:00,2023-10-06 00:00:00,-1,27552.9522,27398.3,0.004875208514391444,fibstop,2023,0.017361152139017087,0.8468653815290552,2023
2023-10-07 00:00:00,2023-10-14 08:00:00,-1,27916.243599999998,26860.4,0.03791209645940087,fibstop,2023,0.016018332338644446,0.7182562945816887,2023
2023-10-16 16:00:00,2023-10-18 16:00:00,-1,28609.633,28235.4,0.012245374124562522,fibstop,2023,0.022815045110247418,-2.5094784560902075,2023
2023-10-19 08:00:00,2023-10-27 08:00:00,1,28629.3944,33954.0,0.1838929911782181,fibstop,2023,0.018690763060704527,-0.2317506687814145,2023
2023-10-28 00:00:00,2023-10-31 08:00:00,1,34004.15358,34151.9,0.002544952143931687,fibstop,2023,0.024457047078372828,-0.89457460891419,2023
2023-10-31 16:00:00,2023-11-04 00:00:00,1,34625.78084,34700.5,0.0003579054157728783,fibstop,2023,0.01751304792061456,-1.3992597217616631,2023
2023-11-04 08:00:00,2023-11-05 16:00:00,-1,34738.84720000001,34893.9,-0.004863383574800676,fibstop,2023,0.01914506980903122,0.8425596260553604,2023
2023-11-06 00:00:00,2023-11-08 08:00:00,-1,34950.81648,35239.5,-0.008359707471074188,fibstop,2023,0.0182192375259682,-0.081206322233513,2023
2023-11-09 16:00:00,2023-11-13 16:00:00,-1,36836.50024,36871.7,0.0002737025663225379,fibstop,2023,0.02531535357592897,-0.6445676299213305,2023
2023-11-15 00:00:00,2023-11-17 08:00:00,1,35597.4,36251.9,0.01691404427115463,fibstop,2023,0.02140203369435398,-1.3459686124024368,2023
2023-11-20 00:00:00,2023-11-21 08:00:00,-1,37321.13774,37297.1,0.00024407843532157512,fibstop,2023,0.01809195301851816,1.188499082201925,2023
2023-11-22 08:00:00,2023-11-28 08:00:00,1,36416.5844,37087.2,0.01581511528467221,fibstop,2023,0.022869023412122023,-0.7922800533977397,2023
2023-11-29 00:00:00,2023-11-30 00:00:00,-1,38145.533,37837.2,0.0076830696480242235,fibstop,2023,0.01609121249467743,0.3845613565949743,2023
2023-12-02 00:00:00,2023-12-03 08:00:00,-1,38729.35534,39474.1,-0.019674321824550898,fibstop,2023,0.014226818369510421,0.5682045674964605,2023
2023-12-05 00:00:00,2023-12-05 16:00:00,-1,41681.11474,43823.81720688005,-0.052007033622922035,fibstop,2023,0.018781518512363544,-0.406951645697481,2023
2023-12-06 00:00:00,2023-12-09 08:00:00,-1,43905.40488000001,44220.7,-0.0065293070450001735,fibstop,2023,0.021663220840216785,-1.145349787030394,2023
2023-12-11 08:00:00,2023-12-12 08:00:00,1,41692.188319999994,41930.0,0.004603986516004632,fibstop,2023,0.022756522189302915,-1.816914293761148,2023
2023-12-14 00:00:00,2023-12-19 16:00:00,-1,43006.80542,42512.9,0.012474014980021614,fibstop,2023,0.02348222095906905,-0.9149605595452897,2023
2023-12-20 16:00:00,2023-12-22 16:00:00,-1,43821.52552,43699.9,0.003612814348662097,fibstop,2023,0.023665717188921853,3.1179090606309754,2023
2023-12-23 08:00:00,2023-12-25 08:00:00,1,43747.31388,43233.3,-0.013505460076859854,fibstop,2023,0.01853921677412797,-0.1666777442286802,2023
2023-12-27 00:00:00,2023-12-29 16:00:00,1,42411.0222,42301.6,-0.00661466156287467,fibstop,2023,0.017537121850073268,0.6681954418429669,2023
2023-12-30 00:00:00,2024-01-04 00:00:00,1,41911.63608,42849.5,0.016359772730976902,fibstop,2024,0.018311719190254032,0.3454375003012447,2023
2024-01-07 16:00:00,2024-01-08 16:00:00,-1,44039.024659999995,46772.08192018692,-0.06245989531528666,fibstop,2024,0.022656443476819044,2.885816201970187,2024
2024-01-09 00:00:00,2024-01-10 08:00:00,-1,46963.12466,45766.3,0.0251843490220184,fibstop,2024,0.025869943004932436,1.0541894566004442,2024
2024-01-10 16:00:00,2024-01-12 16:00:00,1,46550.9301,42826.855692,-0.08140000000000003,fibstop,2024,0.03400145403379619,-0.5408126794339692,2024
2024-01-13 00:00:00,2024-01-15 08:00:00,1,42876.9695,42713.1,-0.005321853594387112,fibstop,2024,0.039222221557049686,-0.3008514280426005,2024
2024-01-17 00:00:00,2024-01-25 00:00:00,-1,42709.1397,40078.8,0.06318727894020304,fibstop,2024,0.02494665842072836,-0.651905891937929,2024
2024-01-27 00:00:00,2024-01-28 16:00:00,-1,41807.71242,42244.5,-0.010817285985992993,fibstop,2024,0.018450643484746513,0.6290101259160686,2024
2024-01-30 16:00:00,2024-02-03 08:00:00,-1,43075.3842,43037.1,0.0011284921075742096,fibstop,2024,0.01804966869134667,-0.1037786649011478,2024
2024-02-05 16:00:00,2024-02-08 00:00:00,-1,42734.157020000006,44631.713426146875,-0.04462445020385597,fibstop,2024,0.016181311605566854,2.316768656715261,2024
2024-02-10 00:00:00,2024-02-11 16:00:00,-1,47308.47584,48140.7,-0.017811028853676608,fibstop,2024,0.017436554009698887,-1.441766613005512,2024
2024-02-13 08:00:00,2024-02-14 08:00:00,-1,48995.71174,51838.68812952428,-0.058525004404687095,fibstop,2024,0.021229790086551015,0.7545028953052798,2024
2024-02-14 16:00:00,2024-02-16 00:00:00,-1,52114.94501999999,51898.4,0.0037551424436289486,fibstop,2024,0.02171733724812301,2.4002400377497857,2024
2024-02-17 16:00:00,2024-02-20 16:00:00,1,51614.38190000001,51712.7,-0.0003677113853899562,fibstop,2024,0.019711753709138465,0.1380063200777201,2024
2024-02-21 16:00:00,2024-02-24 08:00:00,1,51802.4625,51099.8,-0.0151545483009519,fibstop,2024,0.020193687169144537,1.7765911377810766,2024
2024-02-25 08:00:00,2024-02-26 08:00:00,-1,51590.050740000006,51327.5,0.004923073905317356,fibstop,2024,0.014068238761513398,-0.5295224195823621,2024
2024-02-27 08:00:00,2024-02-28 08:00:00,-1,56976.6105,60339.17431975997,-0.05908280469649013,fibstop,2024,0.02156195204358636,-1.6287101059355935,2024
2024-02-29 00:00:00,2024-03-04 16:00:00,-1,63154.7985,68207.18238,-0.07336102000000001,fibstop,2024,0.031034238525328245,-1.3738968677850671,2024
2024-03-06 00:00:00,2024-03-09 08:00:00,1,66458.4028,68336.3,0.023765680840362714,fibstop,2024,0.0420043952444922,-1.9645255605088665,2024
2024-03-10 16:00:00,2024-03-12 08:00:00,-1,69115.86612,72175.6,-0.042368800864317664,fibstop,2024,0.026086588906303127,1.1901346443313925,2024
2024-03-12 16:00:00,2024-03-14 00:00:00,-1,71690.478,73127.6,-0.01941574474144423,fibstop,2024,0.029001333245520223,0.6421844037766733,2024
2024-03-14 08:00:00,2024-03-18 16:00:00,-1,71059.77316,67509.2,0.051834897518845256,fibstop,2024,0.028402023999376403,1.787416881787114,2024
2024-03-20 08:00:00,2024-03-23 08:00:00,1,63406.61464000001,64606.6,0.016766549374678433,fibstop,2024,0.04063656674469023,-1.446440288570617,2024
2024-03-26 08:00:00,2024-03-28 00:00:00,-1,70582.137,69532.6,0.015598705466090613,fibstop,2024,0.030995562199326983,0.1206966063296776,2024
2024-04-01 00:00:00,2024-04-05 08:00:00,-1,69729.04258,66937.4,0.04101899881634692,fibstop,2024,0.01978198440035251,1.2876488458783986,2024
2024-04-08 16:00:00,2024-04-11 08:00:00,-1,71678.4,70789.1,0.013249665955489912,fibstop,2024,0.02103734914860525,0.7138196771901151,2024
2024-04-13 00:00:00,2024-04-13 16:00:00,1,67280.58012000001,62027.25462675642,-0.0789808590513621,fibstop,2024,0.028348062884325353,-1.5938855096360316,2024
2024-04-14 00:00:00,2024-04-17 00:00:00,1,64104.164820000005,63764.9,-0.006763649034487643,fibstop,2024,0.038255867516746714,-2.2440356206487664,2024
2024-04-18 00:00:00,2024-04-19 16:00:00,1,60941.552939999994,64417.6,0.05611853989512503,fibstop,2024,0.03867766889347577,0.3421594012309394,2024
2024-04-21 08:00:00,2024-04-23 08:00:00,-1,65195.44838000001,66079.9,-0.01416536595071678,fibstop,2024,0.029908372920665456,0.6045064751143272,2024
2024-04-25 00:00:00,2024-04-26 00:00:00,1,63888.8782,64478.8,0.008381470153510479,fibstop,2024,0.023330021256295075,1.5026102725835573,2024
2024-04-27 08:00:00,2024-04-30 00:00:00,1,62784.65752,63801.16744793224,0.015024469253436703,fibstop,2024,0.021011945765104328,1.0450271796772024,2024
2024-04-30 08:00:00,2024-05-05 00:00:00,-1,60852.32972,63864.3,-0.049520034014531394,fibstop,2024,0.024026052768977835,0.2236488883397636,2024
2024-05-05 16:00:00,2024-05-07 00:00:00,-1,64226.33404000001,63142.7,0.0162059241599819,fibstop,2024,0.0240621076355452,0.1426731087965604,2024
2024-05-09 00:00:00,2024-05-10 00:00:00,1,61085.601839999996,63050.0,0.03124218074906463,fibstop,2024,0.022604920830333827,-2.3401084768964635,2024
2024-05-11 00:00:00,2024-05-20 08:00:00,1,60891.003880000004,66788.9,0.09472631299212696,fibstop,2024,0.022631916880378973,-0.0034736307243197,2024
2024-05-21 08:00:00,2024-05-26 00:00:00,-1,70060.0318,69314.5,0.011404088312956884,fibstop,2024,0.020560019925238697,0.1269227952186314,2024
2024-05-27 00:00:00,2024-05-28 16:00:00,1,68617.94668000001,68399.8,-0.004479149049990288,fibstop,2024,0.01645587363717301,-2.252982317761235,2024
2024-05-29 00:00:00,2024-05-30 08:00:00,1,67891.3762,67627.9,-0.005206429302919351,fibstop,2024,0.019734214585044405,-1.0099041388881511,2024
2024-05-31 00:00:00,2024-06-03 00:00:00,-1,68297.83306,67805.9,0.007327942341930325,fibstop,2024,0.018058613162866787,-1.6793441115258816,2024
2024-06-03 16:00:00,2024-06-06 08:00:00,-1,68941.85203999998,71077.2,-0.03095696372270606,fibstop,2024,0.016056989434615365,0.475896419518854,2024
2024-06-07 00:00:00,2024-06-08 08:00:00,1,71097.2585,69612.5,-0.02208514455798748,fibstop,2024,0.014704432611609237,-1.5540130038757571,2024
2024-06-10 00:00:00,2024-06-11 00:00:00,-1,69368.6356,69558.8,-0.0033413599583615033,fibstop,2024,0.011790073860711696,0.294754471326647,2024
2024-06-11 16:00:00,2024-06-14 08:00:00,1,67196.55261999999,66906.3,-0.005919457006096318,fibstop,2024,0.016184849341659754,-1.0013570090689343,2024
2024-06-15 00:00:00,2024-06-18 00:00:00,1,65936.31736,66472.1,0.006425759239399708,fibstop,2024,0.01878168183866053,-2.2861866700207822,2024
2024-06-19 00:00:00,2024-06-22 00:00:00,1,65198.83848,64124.1,-0.01792933267653994,fibstop,2024,0.018217217734176352,-2.875543314392222,2024
2024-06-25 00:00:00,2024-06-27 16:00:00,1,60418.2794,61570.6,0.017535373580655288,fibstop,2024,0.01980153838924649,-2.08965257640446,2024
2024-07-01 08:00:00,2024-07-02 08:00:00,-1,63230.502799999995,62617.9,0.009188406273435347,fibstop,2024,0.01525388368623285,-0.5502908435261419,2024
2024-07-05 08:00:00,2024-07-08 16:00:00,1,56328.2267,55736.8,-0.012025090613002396,fibstop,2024,0.03177574368198454,-1.8231415208723876,2024
2024-07-10 08:00:00,2024-07-12 08:00:00,-1,57811.0711,57605.2303979672,0.003209465822522689,fibstop,2024,0.02846097178324057,0.8480399027390473,2024
2024-07-16 08:00:00,2024-07-17 16:00:00,-1,65083.46778,64696.0,0.005185557893759238,fibstop,2024,0.0256569708390989,-0.8427751403876099,2024
2024-07-19 00:00:00,2024-07-22 08:00:00,1,63588.828160000005,67210.4,0.05592729769388162,fibstop,2024,0.021979166904952146,-1.0917297808754354,2024
2024-07-24 00:00:00,2024-07-26 00:00:00,1,65959.52992,65773.0,-0.0042279449569490885,fibstop,2024,0.019919730982993655,0.6679865305389768,2024
2024-07-27 16:00:00,2024-08-08 00:00:00,-1,68047.995,55102.9,0.19145178473509672,fibstop,2024,0.021473427573582313,1.2021735094850745,2024
2024-08-09 00:00:00,2024-08-12 00:00:00,-1,61251.16647999999,58693.1,0.04100623532486492,fibstop,2024,0.04054689420406717,-0.3547681578430857,2024
2024-08-12 08:00:00,2024-08-15 16:00:00,1,60042.280999999995,59643.3,-0.0072870207120814155,fibstop,2024,0.03155697993249908,-0.4814262864318884,2024
2024-08-18 16:00:00,2024-08-20 16:00:00,-1,58515.861399999994,58783.7,-0.005513496568450468,fibstop,2024,0.024345034098359166,2.740423358769281,2024
2024-08-22 00:00:00,2024-08-24 08:00:00,-1,61064.890660000005,64269.3,-0.05339497822269364,fibstop,2024,0.02474365447229678,2.4156826937647056,2024
2024-08-26 00:00:00,2024-08-30 00:00:00,-1,63821.50676,59323.3,0.0698328892318122,fibstop,2024,0.019095124586047944,-0.8726270057694174,2024
2024-08-31 00:00:00,2024-09-02 00:00:00,1,58954.37494,57268.1,-0.029479820099609873,fibstop,2024,0.024865103454769513,-2.0878563367693084,2024
2024-09-02 08:00:00,2024-09-04 16:00:00,1,58388.87414,58096.0,-0.005992323740844363,fibstop,2024,0.021771622648367645,-0.5014817247104919,2024
2024-09-07 00:00:00,2024-09-09 08:00:00,1,54044.091519999994,54939.0,0.01612947879160036,fibstop,2024,0.02812013491837777,0.4917961098984054,2024
2024-09-10 00:00:00,2024-09-13 00:00:00,-1,57317.16698,58097.1,-0.014667159780339873,fibstop,2024,0.02384905166304447,0.5567922918884314,2024
2024-09-14 00:00:00,2024-09-18 00:00:00,-1,60259.80492,60281.0,-0.000822368320862266,fibstop,2024,0.02109216189257276,1.7529271270831106,2024
2024-09-20 08:00:00,2024-09-23 16:00:00,-1,63316.60376,63589.6,-0.004489585863049537,fibstop,2024,0.021623255353207402,1.1885213168934448,2024
2024-09-25 08:00:00,2024-09-27 08:00:00,-1,63542.4534,65438.8,-0.030272823706100044,fibstop,2024,0.01737956683706004,0.781020811819192,2024
2024-09-27 16:00:00,2024-09-30 08:00:00,-1,65861.77864,64539.0,0.01957768212429215,fibstop,2024,0.016814583744948205,0.8634275483065346,2024
2024-10-01 00:00:00,2024-10-01 16:00:00,1,63921.91157999999,61285.763288332026,-0.04214013544821412,fibstop,2024,0.01499164196809434,-1.057871058853053,2024
2024-10-02 00:00:00,2024-10-03 08:00:00,1,61528.12566,60898.5,-0.011280405712263748,fibstop,2024,0.020145435583360804,-2.1394373197637337,2024
2024-10-03 16:00:00,2024-10-09 00:00:00,1,60543.61758,62131.8,0.02496037705826538,fibstop,2024,0.02155053935782844,1.5404874750183164,2024
2024-10-10 00:00:00,2024-10-11 08:00:00,1,60747.62878,60643.2,-0.002637949362435293,fibstop,2024,0.01779145085262215,0.1835115581423497,2024
2024-10-12 00:00:00,2024-10-13 00:00:00,-1,62866.4,63176.0,-0.005656049267144283,fibstop,2024,0.01838269283622255,0.9799969992664334,2024
2024-10-13 16:00:00,2024-10-18 00:00:00,1,62797.38756,67401.5,0.0713944022947887,fibstop,2024,0.01597613816587536,-1.2437167425400717,2024
2024-10-19 00:00:00,2024-10-21 16:00:00,-1,68399.45999999999,67354.2,0.01528169959236504,fibstop,2024,0.015869006090472138,0.4312196876160167,2024
2024-10-22 08:00:00,2024-10-24 08:00:00,1,67177.73270000001,67104.5,-0.0024901335465881734,fibstop,2024,0.01532586202395962,-0.84248029391644,2024
2024-10-25 00:00:00,2024-10-29 00:00:00,-1,67610.03388,70693.74860463632,-0.045306121778715555,fibstop,2024,0.01663113706648996,0.8306030974563451,2024
2024-10-30 00:00:00,2024-11-06 16:00:00,-1,72483.02232,74289.7,-0.02342552907112292,fibstop,2024,0.01696680887472913,-0.6263691236813435,2024
