ret,side,reason,year
-0.010799999999999988,1,sl,2023
-0.01079999999999999,1,sl,2023
0.024834792796984466,-1,sl,2023
-0.010800000000000063,-1,sl,2023
0.00197191362439545,-1,sl,2023
0.005129238909495125,-1,sl,2023
0.029306865960101618,-1,sl,2023
-0.010800000000000075,-1,sl,2023
-0.010800000000000061,1,sl,2023
-0.001587636502877522,1,sl,2023
0.03412449648550723,-1,sl,2023
-0.010799999999999999,-1,sl,2023
0.006698620008593235,-1,sl,2023
0.00023491128775504882,-1,flip,2023
-0.01080000000000003,1,sl,2023
-0.010800000000000021,1,sl,2023
-0.010800000000000042,1,sl,2023
0.003892316594598494,1,sl,2023
-0.010799999999999983,1,sl,2023
-0.010799999999999985,1,sl,2023
0.00220854202988635,1,sl,2023
-0.010800000000000004,1,sl,2023
-0.010799999999999981,1,sl,2023
-0.010799999999999976,1,sl,2023
-0.010799999999999957,1,sl,2023
0.0004154085173894911,1,sl,2023
-0.01080000000000006,-1,sl,2023
0.0036446398284106676,-1,sl,2023
-0.010799999999999975,-1,sl,2023
0.008279315844089974,-1,sl,2023
0.014795582837459244,-1,sl,2023
-0.010800000000000006,-1,sl,2023
0.011779378811624828,-1,sl,2023
6.913070125519729e-05,-1,flip,2023
-0.01079999999999995,1,sl,2023
0.0014903307080534503,1,flip,2023
0.009386209027878218,-1,sl,2023
0.014044050222036144,-1,sl,2023
-0.010800000000000072,-1,sl,2023
-0.010800000000000021,-1,sl,2023
0.008144543774358949,-1,flip,2023
-0.010800000000000054,1,sl,2023
-0.010799999999999975,1,sl,2023
-0.010800000000000072,1,sl,2023
0.0012582323547201814,1,sl,2023
0.014734089582692924,1,sl,2023
-0.010800000000000056,1,sl,2023
-0.010799999999999994,1,sl,2023
-0.010800000000000032,1,sl,2023
0.001988305749621302,1,flip,2023
-0.010800000000000016,-1,sl,2023
0.19440678013785348,1,sl,2023
0.010561710583604375,1,sl,2023
0.01048310139400188,1,sl,2023
-0.00024836160185225055,1,sl,2023
-0.010800000000000032,1,sl,2023
-0.010799999999999949,1,sl,2023
0.02657840404074451,1,sl,2023
0.022441416967291815,1,sl,2023
0.017123647363706567,1,sl,2023
0.010773462498534826,1,sl,2023
-0.01079999999999996,1,sl,2023
-0.010800000000000035,1,sl,2023
0.02233668697239399,1,sl,2023
0.04035839460375282,1,sl,2023
-0.010799999999999964,1,sl,2023
0.0007120906820857726,1,sl,2023
-0.010800000000000079,1,sl,2023
-0.010799999999999973,1,sl,2024
-0.010799999999999966,1,sl,2024
-0.010800000000000082,1,sl,2024
-0.010800000000000072,1,sl,2024
0.00030130680689586674,1,flip,2024
-0.010799999999999947,-1,sl,2024
0.06459334583950245,-1,sl,2024
-0.010799999999999981,-1,sl,2024
0.009328782222801488,-1,flip,2024
0.020720683088822266,1,sl,2024
-0.010800000000000054,1,sl,2024
0.006362477306434207,1,sl,2024
-0.010800000000000075,1,sl,2024
-0.010800000000000011,1,sl,2024
0.0032399709240588316,1,sl,2024
-0.010799999999999962,1,sl,2024
-0.010800000000000018,1,sl,2024
-0.010800000000000014,1,sl,2024
-0.010799999999999945,1,sl,2024
-0.01080000000000008,1,sl,2024
-0.010800000000000098,1,sl,2024
-0.010800000000000014,1,sl,2024
0.07654941680917866,1,sl,2024
-0.010800000000000032,1,sl,2024
-0.010800000000000002,1,sl,2024
-0.010800000000000016,1,sl,2024
-0.010799999999999992,1,sl,2024
-0.010800000000000068,1,sl,2024
0.00429032539262684,1,flip,2024
-0.010800000000000014,-1,sl,2024
-0.010799999999999987,-1,sl,2024
-0.010800000000000066,-1,sl,2024
-0.010800000000000054,-1,sl,2024
-0.010799999999999988,-1,sl,2024
-0.010799999999999928,-1,sl,2024
0.01055044979996502,-1,sl,2024
-0.010800000000000004,-1,sl,2024
-0.003502717224302385,-1,sl,2024
-0.010799999999999957,-1,sl,2024
0.02763739505944653,-1,sl,2024
-0.01080000000000002,-1,sl,2024
0.04769759768856024,1,sl,2024
0.019965508372699215,1,sl,2024
0.011253868424181199,1,sl,2024
-0.010800000000000106,1,sl,2024
0.001558307803714807,1,sl,2024
0.0016443099309526718,1,sl,2024
-0.01079999999999992,-1,sl,2024
-0.010799999999999985,-1,sl,2024
-0.010800000000000039,-1,sl,2024
0.051172634014512566,-1,sl,2024
-0.010799999999999995,-1,sl,2024
-0.010800000000000065,-1,sl,2024
0.074883229370822,-1,sl,2024
-0.0108,-1,sl,2024
-0.010799999999999995,-1,sl,2024
-0.01080000000000003,-1,sl,2024
0.05226631122803989,1,sl,2024
-0.010800000000000032,1,sl,2024
0.008639197294310565,1,sl,2024
-0.01080000000000006,1,sl,2024
-0.010800000000000011,1,sl,2024
-0.01080000000000002,1,sl,2024
-0.010799999999999988,-1,sl,2024
-0.010799999999999995,-1,sl,2024
-0.010800000000000058,-1,sl,2024
-0.010799999999999968,-1,sl,2024
-0.010800000000000023,-1,sl,2024
-0.0108,-1,sl,2024
-0.010799999999999971,-1,sl,2024
-0.010799999999999966,-1,sl,2024
-0.01080000000000005,-1,sl,2024
0.04368783142400414,-1,sl,2024
-0.001208891251806342,-1,sl,2024
0.08734478109836803,1,sl,2024
-0.010800000000000014,1,sl,2024
-0.010800000000000034,1,sl,2024
0.0006906591639403696,1,flip,2024
-0.01079999999999999,-1,sl,2024
-0.010800000000000004,-1,sl,2024
-0.010800000000000011,-1,sl,2024
-0.0022281988154537417,-1,sl,2024
-0.010800000000000032,1,sl,2024
-0.010800000000000051,1,sl,2024
-0.010800000000000117,1,sl,2024
0.03625638535748639,1,sl,2024
-0.010800000000000023,1,sl,2024
0.0002054204692332667,1,sl,2024
0.28140706306725627,1,sl,2024
-0.010800000000000087,1,sl,2024
-0.010800000000000014,1,sl,2024
-0.01080000000000006,1,sl,2024
0.02524261969393191,1,sl,2024
-0.01080000000000003,1,sl,2024
-0.010800000000000056,1,sl,2024
0.009059090900064466,1,sl,2024
-0.010799999999999994,1,sl,2024
0.039653125376639654,1,sl,2024
-0.010799999999999955,1,sl,2024
-0.010799999999999999,1,sl,2024
0.0010096571086580619,1,flip,2024
-0.010800000000000035,-1,sl,2024
-0.010800000000000054,-1,sl,2024
-0.01079999999999997,-1,sl,2024
-0.01080000000000003,-1,sl,2024
-0.010800000000000056,-1,sl,2025
-0.0011478261520592495,-1,flip,2025
0.0024072405332352964,1,flip,2025
-0.01079999999999995,-1,sl,2025
-0.01080000000000006,-1,sl,2025
-0.010799999999999975,-1,sl,2025
-0.010799999999999971,-1,sl,2025
-0.00146695981906768,-1,flip,2025
-0.010800000000000039,1,sl,2025
-0.010799999999999962,1,sl,2025
0.01001412788979156,1,sl,2025
-0.010799999999999999,1,sl,2025
-0.010800000000000032,-1,sl,2025
-0.01079999999999997,-1,sl,2025
-0.010800000000000004,-1,sl,2025
-0.010800000000000058,-1,sl,2025
-0.01079999999999994,-1,sl,2025
-0.010800000000000032,-1,sl,2025
-0.006544138746373813,-1,sl,2025
-0.010800000000000006,-1,sl,2025
-0.010800000000000079,-1,sl,2025
-0.010799999999999971,-1,sl,2025
-0.010800000000000006,-1,sl,2025
-0.010800000000000087,-1,sl,2025
-0.010800000000000044,-1,sl,2025
0.010479728219637382,-1,sl,2025
-0.010799999999999985,-1,sl,2025
-0.010799999999999933,1,sl,2025
-0.0108,1,sl,2025
-0.010800000000000002,1,sl,2025
-0.010800000000000061,1,sl,2025
0.01478087077984895,1,sl,2025
-0.01079999999999995,1,sl,2025
-0.010799999999999994,-1,sl,2025
-0.010799999999999995,-1,sl,2025
0.00396609085734169,-1,sl,2025
-0.01080000000000003,-1,sl,2025
0.0006737815808248903,-1,flip,2025
0.005680608098309449,1,sl,2025
-0.010799999999999933,1,sl,2025
0.017985063977639895,1,sl,2025
0.0035445361941665297,1,sl,2025
0.019573930915066137,1,sl,2025
-0.010800000000000061,1,sl,2025
0.05395310878169075,1,sl,2025
-0.010799999999999955,1,sl,2025
-0.010799999999999957,1,sl,2025
-0.01080000000000001,1,sl,2025
-0.010800000000000021,1,sl,2025
0.009516586487887424,1,sl,2025
-0.0009459993524918086,1,flip,2025
-0.010799999999999971,-1,sl,2025
-0.010800000000000035,-1,sl,2025
0.008570324884862257,1,sl,2025
-0.010799999999999949,1,sl,2025
0.004096882267668719,1,flip,2025
-0.010800000000000039,-1,sl,2025
-0.0007404372870706106,-1,sl,2025
-0.010799999999999978,1,sl,2025
0.0011664914910453936,1,sl,2025
-0.010800000000000008,1,sl,2025
0.07925382805132115,1,sl,2025
-0.010799999999999987,1,sl,2025
-0.01080000000000007,1,sl,2025
-0.01080000000000006,1,sl,2025
-0.010800000000000044,1,sl,2025
0.005498579135417478,1,sl,2025
0.020589681044056302,1,sl,2025
-0.010800000000000011,1,sl,2025
-0.010800000000000046,1,sl,2025
0.0009982865489885414,-1,sl,2025
-0.010799999999999971,-1,sl,2025
-0.002642730405617,-1,sl,2025
-0.010800000000000002,-1,sl,2025
-0.010800000000000006,1,sl,2025
-0.0005179236917584725,1,flip,2025
-0.010800000000000046,-1,sl,2025
0.03510493443754318,-1,sl,2025
0.020680657881424955,-1,sl,2025
-0.01079999999999998,-1,sl,2025
-0.010800000000000054,-1,sl,2025
-0.01079999999999999,-1,sl,2025
-0.0026986073092784093,-1,sl,2025
-0.010800000000000063,-1,sl,2025
-0.01079999999999997,-1,sl,2025
0.0001223653225958678,-1,flip,2025
0.0017220339846256948,1,sl,2025
-0.003916652771298729,-1,sl,2025
-0.010800000000000016,-1,sl,2025
-0.010800000000000006,1,sl,2025
-0.01080000000000003,1,sl,2025
0.035569550227033266,-1,sl,2025
-0.010799999999999968,-1,sl,2025
-0.01080000000000004,-1,sl,2025
-0.010800000000000032,-1,sl,2025
-0.010799999999999994,1,sl,2025
-0.010800000000000004,1,sl,2025
0.0014999678588303571,1,flip,2025
0.062263024080086805,-1,sl,2025
0.0016352424778713734,-1,sl,2025
-0.010799999999999933,-1,sl,2025
-0.010800000000000011,-1,sl,2025
-0.010800000000000034,-1,sl,2025
-0.010800000000000008,-1,sl,2025
-0.0061130427679527005,-1,sl,2025
-0.010800000000000068,-1,sl,2025
0.02983531417779909,-1,sl,2025
0.006072710298387427,-1,flip,2025
0.006046622335158003,1,sl,2025
-0.0018885496504557567,1,flip,2025
-0.010800000000000008,-1,sl,2025
-0.010800000000000013,-1,sl,2025
0.0014295762924004074,-1,sl,2025
-0.0073880969947256216,-1,sl,2025
-0.01079999999999997,-1,sl,2025
-0.010800000000000058,-1,sl,2025
-0.0007054003396138673,-1,flip,2026
-0.010800000000000056,1,sl,2026
-0.010800000000000013,1,sl,2026
-0.010799999999999955,1,sl,2026
0.045629833805532864,1,sl,2026
-0.01079999999999999,1,sl,2026
-0.01079999999999994,1,sl,2026
0.022652585014293992,-1,sl,2026
-0.010800000000000073,-1,sl,2026
0.11639037984619234,-1,sl,2026
-0.010799999999999978,-1,sl,2026
0.022613251319694605,-1,sl,2026
-0.010799999999999957,-1,sl,2026
-0.010800000000000087,-1,sl,2026
-0.006487354618075728,-1,sl,2026
0.01618983062051645,-1,sl,2026
-0.010800000000000028,-1,sl,2026
-0.010799999999999992,1,sl,2026
-0.0108,1,sl,2026
0.050075296136789044,1,sl,2026
0.00858026902759098,1,sl,2026
-0.01080000000000004,1,sl,2026
0.00016990483969697582,1,flip,2026
-0.01080000000000001,-1,sl,2026
0.05047172512339886,-1,sl,2026
-0.01080000000000002,-1,sl,2026
-0.010800000000000004,-1,sl,2026
0.019942793434464,-1,sl,2026
0.0019107841174241494,-1,flip,2026
-0.010800000000000002,1,sl,2026
0.05397091334559623,1,sl,2026
-0.010800000000000006,1,sl,2026
0.028349788183756535,1,sl,2026
-0.010800000000000066,1,sl,2026
-0.010800000000000028,1,sl,2026
0.011611483830691884,1,end,2026
